Product_Name,rates
Huawei Y9 Prime 2019 ,15990
Huawei Y9 Prime 2019 ,15990
Micromax X744,1099
I Kall K18 New,483
Lava Hero 600,621
Honor 20 ,24999
I Kall K16 New Combo of Two Mobiles,989
I Kall K6303 Dual Sim Mobile,699
LG W10 ,7490
OPPO A5 ,9990
Lava Gem Wave,1420
I Kall K18 New,519
I Kall K18 New,489
Samsung Galaxy A70s ,30999
Lava A7,1299
Nokia 105,1248
I Kall K22 New,489
Yu Ace ,4999
Vivo V15 Pro ,19990
Vivo V15 Pro ,26990
Vivo V15 Pro ,26990
Yu Ace ,4999
Samsung Galaxy A10s ,9499
Kechaoda K115,870
I Kall K29,599
I Kall K29,589
Samsung Galaxy J6 ,10490
Infinix Note 5 ,6999
Infinix Note 5 ,6999
Asus ZenFone Max Pro M2 ,9999
Karbonn K24+,979
Micromax Evok Dual Note ,4899
I Kall K31 New Combo of Two Mobiles,889
Blackbear I7 Trio,1399
Micromax Evok Dual Note ,4799
I Kall K700 ,5599
Karbonn K2 Boom Box,705
POCO F1 by Xiaomi ,17999
Note 8 Pro ,15758
Micromax Canvas 1 2018 ,3999
Vivo U10 ,9919
Lava A1200,1089
Nokia 2.2 ,6999
I Kall K73 Combo of Two Mobiles,999
Redmi K20 ,22999
I Kall K28,539
OPPO A1K ,7490
Karbonn K5 Plus,770
OPPO A1K ,7490
Karbonn K140 Pop,745
Redmi 6 ,7999
MTR Ferrari,1149
OPPO Reno2 ,36990
Apple iPhone XR ,49900
Kechaoda A26,838
Micromax X744,1089
Redmi Note 4 ,8999
Redmi 6 Pro ,9312
Lava Spark i8,1489
Redmi 6 Pro ,9270
I Kall K24 New,489
Redmi 6 Pro ,9230
Redmi 6 Pro ,7945
Redmi 6 Pro ,9289
Micromax X378,689
Coolpad Cool 5 ,7490
Google Pixel 3a ,33999
Google Pixel 3a ,33999
I Kall K301 New,489
Google Pixel 3 XL ,51999
Kechaoda A27,845
Redmi Y2 ,7999
Nokia 7.1 ,12997
Karbonn Platinum P9 ,3999
Lava Prime Z,1370
Hicell C9 Metro,539
OnePlus 7 Pro ,44445
Micromax X1i-2017,849
Blackberry Evolve ,15999
OPPO K1 ,13990
OPPO K1 ,13990
OnePlus 7 Pro ,41990
OnePlus 7 Pro ,44990
I Kall K5 ,3299
Karbonn K-Pebble,1305
Karbonn K2 Boom Box,709
Asus Zenfone Max Pro M1 ,7499
I Kall K29 Combo of two Mobile,939
Vivo V11 Pro ,23990
Vivo V11 Pro ,23990
Karbonn K338N,1065
I Kall K11,489
Apple iPhone 6s ,23999
Redmi Note 6 Pro ,9999
I Kall K20 New,489
Karbonn K-Stylo,1087
I Kall K111,589
Kechaoda K-55 Plus,999
Realme C2 ,5999
Samsung Galaxy A10s ,9499
Karbonn K9 Staar,839
Redmi Y2 ,8999
I Kall K3310 Combo Of Two Mobile,1099
Micromax Evok Dual Note ,5299
I Kall K3312 Combo,1089
Vivo V15 ,19990
Lava 34 Plus,1451
Vivo Y95 ,13990
Micromax Infinity N12 ,6899
I Kall K88 Combo Of Two Mobile,999
Nokia 2.2 ,5999
I Kall K88 Combo Of Two Mobile,989
Tork T27 Power,999
Samsung Galaxy A30 ,13990
Nokia 110,1727
Gfive Classic,599
Nokia 110,1728
Nokia 110,1729
Apple iPhone 11 Pro ,99900
Karbonn Titanium S4 ,13298
Forme N1,599
Lava A1 super,879
Coolpad Mega 5 ,4699
Blackbear A1 Pen Phone,1799
Samsung On5 Pro ,6990
Samsung Galaxy A80 ,39990
Realme U1 ,8742
Realme U1 ,9350
Redmi Y2 ,7970
Samsung Galaxy A2 Core ,5290
I Kall K 48,489
I Kall K100,489
Nokia 2.2 ,6999
Kechaoda K116 Plus,824
Kechaoda A27,840
OnePlus 7T Pro ,52499
Samsung Galaxy Note 9 ,53990
Coolpad Mega 5M ,2940
Samsung Guru GT,1410
I Kall K25 Combo of Two Mobiles,993
Coolpad Mega 5M ,2830
I Kall K66 Combo Of Two Mobile,999
I Kall K71 Combo Of Two Mobile,699
Karbonn K140 Pop,700
Samsung Galaxy A80 ,39990
Realme U1 ,10990
Realme U1 ,10534
Winstar C1,888
Samsung Galaxy Note 10 Plus ,79999
Realme U1 ,9999
Blackbear A1 Aura,749
Apple iPhone 11 Pro Max ,123900
Lenovo A6 Note ,7999
I Kall K 500 ,5999
I Kall K 500 ,5999
Apple iPhone 11 Pro ,113900
Redmi 6A ,5685
Redmi Y2 ,9345
I Kall K74,699
Vivo U10 ,10990
Redmi 6A ,5499
I Kall K 50 Combo of 2,1399
Micromax X748,1320
Lenovo K9 Note ,8999
Hicell C1 Nova,539
Redmi Note 6 Pro ,11999
I Kall K2180,489
Nokia 2.1 ,5295
Karbonn KX1,715
Itel It 5605n,985
Karbonn KX1,707
Gfive Rock,600
Nokia 105,1327
Yu Yureka Black ,5999
Apple iPhone 11 Pro ,99900
Nokia 5.1 Plus ,6999
Redmi 6 ,7999
Apple iPhone XS Max ,74999
Tork X1,799
Kechaoda K9,999
Tork T19 Shine,1299
Tambo A2200,840
Mobiistar XQ Dual ,7999
Tashan TS-444 ,3199
Tashan TS-444 ,3199
Lenovo K9 Note ,8999
I Kall K3310 Combo Of Two Mobile,1063
Tork T1,799
Kechaoda K60,1344
Coolpad Cool 3 ,5749
Gionee Marathon M5 Plus ,26999
Coolpad Cool 3 ,7398
OnePlus 7 Pro ,44970
Salora VOLT 2,659
Google Pixel 3 ,44999
Panasonic Eluga Ray 700 ,6999
Karbonn K334,749
Samsung Galaxy Note 10 Plus ,79999
LG Q Stylus+ ,16999
InFocus Turbo 5 Plus ,5849
Karbonn K5 Plus,799
Redmi 7 ,8795
Apple iPhone 7 ,44990
Nokia 4.2 ,9499
Blackbear B5 Nex,629
Blackbear B5 Nex,599
OPPO F9 ,16990
I Kall K 2180 Combo of Two Mobiles,1089
OPPO F9 ,16990
Google Pixel 3 XL ,54999
Vivo V11 ,19990
OPPO A83 ,8990
OPPO A83 ,8990
I Kall K3312 Combo,1099
Intex Eco 105x,770
I Kall K23 Combo of Two Mobiles,1099
Redmi Note 7 ,9999
Karbonn K1 Prime,749
Honor 7S ,5999
Samsung Galaxy Note 10 ,69999
Blackbear i7,1399
Blackbear i7,1350
Tecno Camon i ACE 2x ,5451
Hicell C2 Turbo,539
Itel Muzik 400,1347
Itel Muzik 400,1377
I Kall K600 ,3199
Tork X5,1099
Apple iPhone 11 Pro ,113900
Vivo V9 ,23990
Gfive Audi,649
Vivo V9 ,23990
Snexian Splender,849
Samsung Galaxy J4 ,8699
Zen X65,940
Apple iPhone 8 ,54999
Redmi Y2 ,9696
LG V30+ ,60000
Redmi Note 7 ,10999
LG V30+ ,60000
GAMMA K2 Nano,999
I Kall K42 New,1099
Kechaoda K-9,999
Karbonn KX21,844
Apple iPhone 11 Pro Max ,123900
Lenovo Z2 Plus ,15499
I Kall K26 New Combo of Two,999
GAMMA K5 mini,1099
Jivi Banana 6,899
Moto One ,13999
Vivo Y83 ,15990
Redmi Note 5 ,10999
Apple iPhone 11 Pro Max ,109900
Infinix Note 5 ,8999
Vivo V5 ,17980
Mobiistar X1 Dual ,6399
Samsung Galaxy C7 Pro ,26600
Gfive Plus,675
Lava Z62 ,5549
Vivo Y95 ,12590
Apple iPhone 11 Pro ,99900
Vivo Y71i ,9990
Kechaoda K10,779
Vivo Y71i ,9990
Lava Z61 ,4699
Hicell C1 Fox,539
Zen Admire Shine ,2399
Micromax X725,1157
Samsung Galaxy S10 Plus ,69900
Hicell C1 Tiger,539
Redmi Y2 ,10999
Vivo Y81i ,7990
XOLO ZX ,10599
Homtom H5 ,4990
XOLO ZX ,8699
Nokia 8110 4G,3279
Gfive Alpha,999
XOLO ZX ,8699
XOLO ZX ,10599
Micromax X725,1359
Forme TV1,1149
InFocus Hero Selfie C2,799
I Kall K27 New,489
Blackbear C99 Stroke,1399
Vivo Y93 ,10650
Mi Mix 2 ,29999
Micromax X70-1,782
Panasonic Eluga Ray Max ,6999
Micromax Canvas L A108 ,11999
I Kall K34 New,599
XOLO Era 5X ,7199
Alcatel U5 HD ,6499
Mobiistar X1 Notch ,5390
Kechaoda K2,649
HTC Desire 816G ,21990
Mobiistar X1 Notch ,6499
Lava Z92 ,12500
Asus Zenfone 2 Laser ,6999
Samsung Galaxy Note 10 ,69999
Infinix Hot 7 ,7999
Redmi Y2 ,8290
Yuho Vast Plus ,7499
Nokia 3.1 ,7780
JIVI N3720 Power,1529
I Kall K301 New Combo of Two Mobiles,999
OPPO R17 Pro ,29990
Nokia 9 ,49999
Micromax Vdeo 3 ,3999
Forme R7 ,3599
Tork T13 Banana,799
Forme Turbo2,899
LG Q6+ ,9999
I Kall K 8 NEw ,3609
I Kall K22 Combo of Two Mobiles,1099
Forme Turbo1,888
Apple iPhone XS Max ,89999
Nubia Red Magic 3 ,33999
I Kall K12,799
XOLO Omega 5.0 ,8990
Nubia Red Magic 3 ,33999
Moto X ,15000
Blackbear A1 Mini,1249
Samsung Galaxy A6+ ,23990
Samsung Galaxy A6+ ,23990
Gionee F205 ,4990
OPPO K3 ,19279
Samsung Galaxy A6+ ,23990
Salora Atom,599
Honor 7C ,12999
Apple iPhone 11 Pro ,99900
Lava Z70 ,8299
Meizu M6T ,8999
MI3 ,13999
InFocus Vibe 1,790
I Kall K-1 ,3299
Apple iPhone 8 Plus ,49900
I Kall K-1 ,3199
I Kall K-1 ,3299
I Kall K18 New Combo of Two Mobiles,1049
Apple iPhone 8 ,54999
I Kall K19,1799
Redmi 7 ,8599
Redmi 7 ,8599
ROKEA R111,899
Apple iPhone 11 Pro Max ,109900
Apple iPhone 11 Pro ,113900
Lenovo P2 ,16999
Peace P1 Wireless FM,575
I Kall K26 New Pack of Three Mobiles,1799
Asus Zenfone 4 Selfie Pro ,15999
Infinix Note 5 Stylus ,16999
Panasonic Eluga I9 ,11990
Tecno Camon i ,5980
Infinix Note 5 Stylus ,16999
Tecno Camon i ,5890
Peace Max 10,899
Vivo U20 ,11799
Alcatel 3V ,5999
Alcatel 3V ,5999
Peace P1 Combo of Two Mobiles,1075
Apple iPhone 11 Pro Max ,109900
Nokia 216/216 DS,2450
Kechaoda K116,949
Ziox Z99,1099
Bloom Fashion 2,1199
Gfive Hero,829
Moto G6 Play ,8799
Intex Eco 215,849
Nokia 8110 4G,3128
Karbonn K19 Rock,777
Mymax M8110,755
Ziox Tube Light,1099
MTR MT 310,599
OPPO Ravichandran Ashwin Limited Edition ,21990
Panasonic P85 NXT ,4499
Kechaoda K66,1049
Tecno Camon i4 ,7199
Peace FM1 Combo of Two Mobiles,1075
Vivo U10 ,10290
Heemax H1shine,599
Samsung Galaxy J7 Prime ,15300
Vivo V7 ,18990
I Kall K31 Pack of Two Mobile,999
Vivo V7 ,18990
LYF Water 8 ,10999
Samsung Galaxy A8 Star ,22999
Mobiistar C1 Shine ,3990
Mobiistar C1 Shine ,4190
Lenovo K10 Plus ,10999
SSKY Reno ,4299
SSKY Reno ,4299
I Kall K6303 Combo of Two Mobile,1299
Tambo S2450,999
I Kall K22 Combo of Two Mobiles,1198
Micromax X772,1199
XCCESS X493 Selfie,899
Mobiistar X1 Dual ,5640
Micromax X512,799
Yuho Y1 Star Lite ,4599
Panasonic Eluga Ray ,7999
Tork T3,899
LG G2 D802 ,31971
Gfive Leo,625
Megus Ultra,960
Megus Ultra,970
Alcatel U5 HD ,6499
I Kall K71 Pack of Three,1099
I Kall K44 Combo of Two Mobiles,1099
Kekai S5 Gio ,3899
Samsung Galaxy A6 ,25500
Swipe Elite Note 4G ,7500
Gfive WP86,1076
Alcatel Idol 4 ,16999
LG K9 4G LTE ,6299
Coolpad Note 3S ,9999
Coolpad Note 3S ,9999
GAMMA K1 Nano,890
Lava X81 4G with VoLTE ,11500
Vivo V7+ ,22221
Jivi S3,750
Vivo V7+ ,22221
Mobiistar X1 Notch ,5850
Swipe Elite Star - 4G VoLTE,3999
Tecno Camon I Twin ,7490
Nokia 3.2 ,7999
Peace P1,565
LG V20 ,29199
Huawei P30 Lite ,17199
I-Plus I-4,699
I Kall K 15,599
GreenBerry Swift,599
Heemax H2,549
Samsung Galaxy S8 Plus ,53990
Voto V2 ,6599
LG Q Stylus ,20000
OPPO F5 Youth ,14990
OPPO F5 Youth ,14990
Alcatel 3X ,9999
Alcatel 3X ,9999
Voto V2 ,6599
Swipe ELITE Sense- 4G with VoLTE,8199
Vivo Y71 ,11990
I Kall K31 Combo of Two Mobile,1199
Vivo Y71 ,11990
Coolpad Note 8 ,7980
I Kall K44 new mobile,599
Lenovo VIBE P1 ,15999
Swipe_Elite Star,4500
Asus Zenfone 2 Laser ZE500KL ,12399
I Kall K25 Combo of Two Mobiles,1099
Asus Padfone Mini ,12999
OPPO A83 ,8999
iVooMi i1 ,6499
Micromax Canvas 5 Lite-Special Edition ,4399
Jivi N9030,1149
InFocus Hero Play M1,1080
Honor 8,29999
Zen X101,899
Heemax P312,549
Micromax Bharat 4 ,3789
OPPO A83 ,13990
OPPO A83 ,13990
OPPO A83 ,13990
Micromax Q402+ ,2999
Chilli B51,1299
Ziox X93,699
Gfive Z15,841
Gfive Guru,699
Vivo X21 ,26990
I Kall K99 with MP3/FM Player Neckband,799
Blackbear Dynamic,1099
Jivi R21Plus,789
Kekai Blaze Gio ,3940
I Kall K301 Combo of Two Mobiles,999
Samsung Galaxy Note 3 ,50650
LG G7+ ThinQ ,37999
LG G7+ ThinQ ,37999
Salora Zing+,999
Sony Xperia Z3+ ,55990
InFocus M370i ,4590
Heemax H7,549
GreenBerry GB 310,649
Kekai Blaze Gio ,3980
iVooMi Me3S ,7800
Tecno Camon i Sky ,5197
I Kall K6303,599
iVooMi Me3S ,7800
HTC U11 ,53990
Tecno Camon i Sky ,5170
Kechaoda K115,789
I Kall K39,599
InFocus VIBE 2,1140
STK Life Plus S ,4499
Asus Zenfone 4 ,6499
M-tech EROS 4G ,2985
Karbonn Aura Champ ,3450
M-tech EROS 4G ,3050
Apple iPhone XS ,134900
Homtom H1 ,3990
InFocus POWER 2,1499
Moto G ,10999
Nokia 5 ,15299
Coolpad Mega 2.5D ,5990
I Kall K14 New Combo of Three Mobiles,1199
Tecno Camon i 2x ,9399
I Kall K6303,649
Jivi S3,799
ZIOX Astra Viva ,3120
Kekai Spark Gio ,3850
iVooMi iPro ,5499
Gfive U707,530
InFocus POWER 2,1490
Reach Allure Admire 4G VoLTE ,2940
GreenBerry Nano,1499
Kenxinda P9 Volte ,3699
Micromax Bharat 5 ,4390
Samsung Galaxy S10 Plus ,113900
Callbar Bold,699
I Kall K3310,499
I Kall K28 Combo of Two Mobiles,989
Honor Holly 3 ,10499
Realme 1 ,9490
Tecno Camon I Air ,6299
Tecno Camon I Air ,6099
Huawei P9 ,39999
Snexian Guru 1,635
Karbonn Kx23,999
Tecno Camon I Ace 2x ,5499
Mi A2 ,11499
Karbonn K24 Plus Pro,879
LG W30 ,9689
LYF Flame 8 ,2509
Comio C1 Pro ,3990
I Kall K33 New,599
I Kall K39 Mobile,699
Gfive A1 Combo of Two,999
TYMES Y5000 Mobile Cum Powerbank,899
Itel It2171,729
Kechaoda The Music House,999
Itel It2171,759
Kechaoda K92,1060
Nokia 5.1 ,9699
I Kall K5310,700
Itel It 5605n,1025
XCCESS X205,999
Mymax M32S,499
Callbar Rainbow 2,1099
Itel It 2163,749
Panasonic Eluga Ray 700 ,7099
I Kall K3 ,4299
Mymax M32,499
I Kall K37 New,699
Blackbear i7 Trio,1499
Itel IT 5617,1049
I Kall K24 New Combo of Two Mobiles,999
Moto G7 Power ,12599
Karbonn K9,1077
Intex Turbo 220,999
Voto V9 ,4990
Karbonn K451 Power,1149
Honor Holly 3 ,7990
Itel Power 400,1075
MTR Rowdy,1599
MTR Mt311,999
Kechaoda K60,1380
I Kall K 15,489
OPPO R17 ,20499
JIVI X606,899
Lava A7,1325
OPPO R17 ,20499
Ziox S333 Wifi,799
Reach Champ I3,599
MTR MT Bullet,949
XCCESS X492,899
Intex Eco 110,780
Micromax Vdeo 4 ,6249
Tecno Camon I Sky 2 ,5379
Micromax X424,789
GreenBerry Champ,599
Trio T4 XL Selfie,669
I Kall K34 Combo of Two Mobiles,1099
MTR Mt3322,799
I Kall K50 Combo of 2 Mobiles,1399
Blackberry Keyone ,33000
Gfive Classic,635
Samsung Galaxy A10s ,8890
LG Q6 ,7999
Lenovo K8 Plus ,6798
Gfive U229,550
BlackBear i7,1499
Forme R7S ,4285
Micromax X748,1313
Apple iPhone XR ,57490
Panasonic Eluga I9 ,5999
Ziox Trendy,1099
Gfive Z15,799
Ziox z11,899
Mymax M32 Combo of Two Mobiles,999
I Kall K31 New,399
Karbonn K9,1039
Trio T6*,699
Forme R7S ,4200
Redmi 6 Pro ,9249
Moto Z2 Play ,16990
Lenovo K8 Note ,8699
itel it5617,1339
Karbonn KX1,700
Moto G4 Plus ,7999
MTR Mt313,599
I Kall K5310 Combo of Two Mobile,999
Karbonn K451 Power,1045
I Kall K31 pack of two,1099
Mymax A12,499
I Kall K43 Combo of 2 Mobiles,1099
Vivo Y91 ,8490
LYF Flame 8 ,2650
Kechaoda K28,950
Kechaoda K28,979
MTR Guru,699
XCCESS X490,699
MTR King,699
Micromax X412,691
MTR Mt105,999
MTR Mt105,1099
Nokia 5.1 Plus ,11799
Nokia 5.1 Plus ,11679
Itel Magic 1,1349
BlackZone Flip-X,799
Heemax H1,749
I Kall K71 Pack of Three Mobile,1099
I Kall K34 New Big Torch,1099
MTR Mt07,999
ZIOX I5,1159
MTR Hero,899
MTR Thunder,1049
MTR Thunder,999
MTR Mt07,629
Kechaoda K66,999
Ziox X13,699
Panasonic Eluga Ray 700 ,6999
Heemax H312 Combo,1099
Moto C Plus ,7080
Ssky S1000 Neo,1299
Trio T3 Selfie,599
Karbonn K338N,1215
Gfive U873 Combo of Two,999
Trio T4 Prime,699
Vivo Y81 ,10890
Gfive ROCK,635
Ssky SS100,1299
Tambo S2440,1049
Kara Elight,635
LYF Flame 8 ,2879
Kechaoda K9,939
Kechaoda K9,949
Gfive A2,619
MTR MT 316,1199
JIVI JFP R21,709
XCCESS X-499,899
Good One Magic,1599
Niamia CAD 1,1399
Niamia CAD 1,899
Kechaoda K116,1599
Gfive U229 Combo of Two,999
Tashan TS786,549
ziox X3,699
Karbonn K-Selfie,1360
MTR MT 316,599
Ssky S9007 Rainbow,1099
Coolpad Mega 3 ,4590
Ziox Z 314 Stylish,888
Easyfone Marvel,2490
Tork X9,1099
MTR Mt312,599
MTR Mt312,650
Tambo S2430,1139
